"","xbin","zbin","bin.hits","sky.hits","can.hits","lidar.pulses","Freq","hit.count","phi","dee","sum.dee","fee","cvr","olai","vai"
"567",5,14,53,23,243,266,1,186,0.237704918032787,0.649087190765915,5.4971682252932,0.118076646768672,0.218106995884774,4.54220926226938,0.536328838610373
"568",5,15,57,23,243,266,1,243,0.00409836065573771,4.06044301054642,5.4971682252932,0.738642669122582,0.234567901234568,4.54220926226938,3.35506957319597
"577",6,0,0,0,212,265,1,0,1,0,5.36129216570943,0,0,3.07746957149945,0
"578",6,1,0,0,212,265,1,0,1,0,5.36129216570943,0,0,3.07746957149945,0
"585",6,2,0,0,212,265,1,0,1,0,5.36129216570943,0,0,3.07746957149945,0
"586",6,3,0,0,212,265,1,0,1,0,5.36129216570943,0,0,3.07746957149945,0
"587",6,4,0,0,212,265,1,0,1,0,5.36129216570943,0,0,3.07746957149945,0
"588",6,5,0,0,212,265,1,0,1,0,5.36129216570943,0,0,3.07746957149945,0
"589",6,6,0,0,212,265,1,0,1,0,5.36129216570943,0,0,3.07746957149945,0
"590",6,7,0,0,212,265,1,0,1,0,5.36129216570943,0,0,3.07746957149945,0
"591",6,8,0,0,212,265,1,0,1,0,5.36129216570943,0,0,3.07746957149945,0
"592",6,9,0,0,212,265,1,0,1,0,5.36129216570943,0,0,3.07746957149945,0
"579",6,10,0,0,212,265,1,0,1,0,5.36129216570943,0,0,3.07746957149945,0
"580",6,11,0,0,212,265,1,0,1,0,5.36129216570943,0,0,3.07746957149945,0
"581",6,12,29,53,212,265,1,29,0.863849765258216,0.146356408100439,5.36129216570943,0.0272987189611729,0.136792452830189,3.07746957149945,0.0840109769439246
"582",6,13,183,53,212,265,1,212,0.00469483568075117,5.21493575760899,5.36129216570943,0.972701281038827,0.863207547169811,3.07746957149945,2.99345859455553
"583",6,14,0,0,212,265,1,212,0.00469483568075117,0,5.36129216570943,0,0,3.07746957149945,0
"584",6,15,0,0,212,265,1,212,0.00469483568075117,0,5.36129216570943,0,0,3.07746957149945,0
"593",7,0,0,0,94,265,1,0,1,0,4.55387689160054,0,0,0.856096741353376,0
"594",7,1,0,0,94,265,1,0,1,0,4.55387689160054,0,0,0.856096741353376,0
"601",7,2,0,0,94,265,1,0,1,0,4.55387689160054,0,0,0.856096741353376,0
"602",7,3,0,0,94,265,1,0,1,0,4.55387689160054,0,0,0.856096741353376,0
"603",7,4,0,0,94,265,1,0,1,0,4.55387689160054,0,0,0.856096741353376,0
"604",7,5,0,0,94,265,1,0,1,0,4.55387689160054,0,0,0.856096741353376,0
"605",7,6,0,0,94,265,1,0,1,0,4.55387689160054,0,0,0.856096741353376,0
"606",7,7,0,0,94,265,1,0,1,0,4.55387689160054,0,0,0.856096741353376,0
"607",7,8,0,0,94,265,1,0,1,0,4.55387689160054,0,0,0.856096741353376,0
"608",7,9,0,0,94,265,1,0,1,0,4.55387689160054,0,0,0.856096741353376,0
"595",7,10,0,0,94,265,1,0,1,0,4.55387689160054,0,0,0.856096741353376,0
"596",7,11,0,0,94,265,1,0,1,0,4.55387689160054,0,0,0.856096741353376,0
"597",7,12,92,171,94,265,1,92,0.0315789473684211,3.45526460293243,4.55387689160054,0.758752308237744,0.978723404255319,0.856096741353376,0.649565378576685
"598",7,13,2,171,94,265,1,94,0.0105263157894737,1.09861228866811,4.55387689160054,0.241247691762256,0.0212765957446809,0.856096741353376,0.206531362776692
"599",7,14,0,0,94,265,1,94,0.0105263157894737,0,4.55387689160054,0,0,0.856096741353376,0
"600",7,15,0,0,94,265,1,94,0.0105263157894737,0,4.55387689160054,0,0,0.856096741353376,0
"609",8,0,0,265,0,265,1,0,1,0,0,0,0,0,0
"610",8,1,0,0,0,265,1,0,1,0,0,0,0,0,0
"617",8,2,0,0,0,265,1,0,1,0,0,0,0,0,0
"618",8,3,0,0,0,265,1,0,1,0,0,0,0,0,0
"619",8,4,0,0,0,265,1,0,1,0,0,0,0,0,0
"620",8,5,0,0,0,265,1,0,1,0,0,0,0,0,0
"621",8,6,0,0,0,265,1,0,1,0,0,0,0,0,0
"622",8,7,0,0,0,265,1,0,1,0,0,0,0,0,0
"623",8,8,0,0,0,265,1,0,1,0,0,0,0,0,0
"624",8,9,0,0,0,265,1,0,1,0,0,0,0,0,0
"611",8,10,0,0,0,265,1,0,1,0,0,0,0,0,0
"612",8,11,0,0,0,265,1,0,1,0,0,0,0,0,0
"613",8,12,0,0,0,265,1,0,1,0,0,0,0,0,0
"614",8,13,0,0,0,265,1,0,1,0,0,0,0,0,0
"615",8,14,0,0,0,265,1,0,1,0,0,0,0,0,0
"616",8,15,0,0,0,265,1,0,1,0,0,0,0,0,0
"625",9,0,0,265,0,265,1,0,1,0,0,0,0,0,0
"626",9,1,0,0,0,265,1,0,1,0,0,0,0,0,0
"633",9,2,0,0,0,265,1,0,1,0,0,0,0,0,0
"634",9,3,0,0,0,265,1,0,1,0,0,0,0,0,0
"635",9,4,0,0,0,265,1,0,1,0,0,0,0,0,0
"636",9,5,0,0,0,265,1,0,1,0,0,0,0,0,0
"637",9,6,0,0,0,265,1,0,1,0,0,0,0,0,0
"638",9,7,0,0,0,265,1,0,1,0,0,0,0,0,0
"639",9,8,0,0,0,265,1,0,1,0,0,0,0,0,0
"640",9,9,0,0,0,265,1,0,1,0,0,0,0,0,0
"627",9,10,0,0,0,265,1,0,1,0,0,0,0,0,0
"628",9,11,0,0,0,265,1,0,1,0,0,0,0,0,0
"629",9,12,0,0,0,265,1,0,1,0,0,0,0,0,0
"630",9,13,0,0,0,265,1,0,1,0,0,0,0,0,0
"631",9,14,0,0,0,265,1,0,1,0,0,0,0,0,0
"632",9,15,0,0,0,265,1,0,1,0,0,0,0,0,0
"17",10,0,0,265,0,265,1,0,1,0,0,0,0,0,0
"18",10,1,0,0,0,265,1,0,1,0,0,0,0,0,0
"25",10,2,0,0,0,265,1,0,1,0,0,0,0,0,0
"26",10,3,0,0,0,265,1,0,1,0,0,0,0,0,0
